distance,duration,n_ha,n_ha_l,n_ha_m,n_ha_h,n_hb,n_hb_l,n_hb_m,n_hb_h,n_hc,n_hc_l,n_hc_m,n_hc_h,n_ignition_on,n_ignition_off,fcw_time,hmw_time,ldw_time,pcw_time,n_pedestrian_dz,light_mode,n_tsr_level,n_tsr_level_0,n_tsr_level_1,n_tsr_level_2,n_tsr_level_3,n_tsr_level_4,n_tsr_level_5,n_tsr_level_6,n_tsr_level_7,zero_speed_time,n_zero_speed,n_high_beam,n_low_beam,n_wipers,n_signal_right,n_signal_left,n_brakes,speed,n_fcw,n_hmw,n_ldw,n_ldw_left,n_ldw_right,n_pcw,n_fatigue_0,n_fatigue_1,n_fatigue_2,n_fatigue_3,n_headway__1,n_headway_0,n_headway_1,n_headway_2,n_headway_3,n_overtaking_0,n_overtaking_1,n_overtaking_2,n_overtaking_3,n_speeding_0,n_speeding_1,n_speeding_2,n_speeding_3
1.0,49.52003869888964,0.04194243819781732,0.0,0.04194243819781732,0.0,1.2442923332019136,0.027961625465211543,1.216330707736702,0.0,0.5452516965716251,0.05592325093042309,0.489328445641202,0.0,,,0.0,0.806651329715099,0.002857496371979096,0.0,0.08388487639563463,0.0,1.5518702133192406,0.2935970673847212,0.3495203183151443,0.489328445641202,0.36350113104775006,0.1398081273260577,0.08388487639563463,0.027961625465211543,0.0978656891282404,49.41749728073192,0.15378894005866348,0.027961625465211543,0.0,0.0,0.3495203183151443,0.33553950558253853,0.9367144530845867,0.9141850131392871,0.0,0.1398081273260577,0.027961625465211543,0.027961625465211543,0.0,0.0,0.013980812732605772,0.0,0.0,0.0,1.0205993294802214,0.5172900711064136,0.9227336403519809,0.7130214493628944,0.1398081273260577,0.08388487639563463,0.06990406366302886,0.013980812732605772,0.0,0.08388487639563463,0.30757788011732695,0.40544356924556735,0.2516546291869039
1.0,73.9778521092456,0.6494982625921476,0.0,0.6494982625921476,0.0,0.8443477413697918,0.12989965251842953,0.7144480888513624,0.0,1.4938460039619395,0.12989965251842953,1.36394635144351,0.0,,,0.0,0.3104253564121716,0.01321508134965739,0.0,0.06494982625921476,0.0,1.36394635144351,0.5195986100737181,0.4546487838145033,0.25979930503685905,0.25979930503685905,0.12989965251842953,0.19484947877764427,0.06494982625921476,0.0,73.81754561101549,0.38969895755528855,0.0,0.0,0.0,0.12989965251842953,4.546487838145033,1.8185951352580132,2.7040184516821486,0.0,0.06494982625921476,0.12989965251842953,0.06494982625921476,0.06494982625921476,0.0,0.06494982625921476,0.0,0.0,0.0,0.5845484363329329,0.7144480888513624,0.5845484363329329,0.4546487838145033,0.12989965251842953,0.06494982625921476,0.0,0.0,0.0,0.38969895755528855,0.25979930503685905,0.25979930503685905,0.25979930503685905
1.0,253.41014189353868,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6140773369015202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.349899685093513,1.6140773369015202,0.0,0.0,0.0,98.45871755099273,12.912618695212162,9.684464021409122,39.96743857305278,0.0,0.0,0.0,0.0,0.0,0.0,1.6140773369015202,0.0,0.0,0.0,6.456309347606081,4.842232010704561,0.0,0.0,0.0,1.6140773369015202,0.0,0.0,0.0,3.2281546738030404,1.6140773369015202,0.0,0.0
1.0,165.67966316366002,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.053880121863554,0.0,0.0,0.6846267072878512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.13355834731114,4.107760243727108,0.0,0.0,0.0,40.39297572998323,13.007907438469175,8.215520487454215,15.199754159139786,0.0,0.0,0.0,0.0,0.0,0.0,1.3692534145757025,0.0,0.0,0.0,4.107760243727108,3.4231335364392566,1.3692534145757025,0.6846267072878512,0.0,1.3692534145757025,0.0,0.0,0.0,2.053880121863554,0.6846267072878512,0.0,0.0
1.0,145.54593284998825,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.520060026397151,3.6160480211177206,2.7120360158382906,0.9040120052794302,0.9040120052794302,0.0,0.0,0.0,0.0,129.40536259921532,0.9040120052794302,0.0,0.0,0.0,20.792276121426895,9.040120052794302,7.232096042235441,24.882559948592842,0.0,0.0,0.0,0.0,0.0,0.0,0.9040120052794302,0.0,0.0,0.0,0.9040120052794302,0.0,0.0,0.0,0.0,0.9040120052794302,0.0,0.0,0.0,1.8080240105588603,1.8080240105588603,1.8080240105588603,0.9040120052794302
1.0,82.77319179224895,1.2882987049377268,0.0,1.2882987049377268,0.0,3.220746762344317,0.3220746762344317,2.8986720861098854,0.0,2.8986720861098854,0.9662240287032952,1.9324480574065903,0.0,,,0.0,0.0,0.0,0.0,0.9662240287032952,0.0,6.1194188484542025,1.2882987049377268,1.6103733811721586,1.2882987049377268,1.6103733811721586,1.2882987049377268,0.3220746762344317,0.0,0.0,6.372078058018532,0.6441493524688634,0.0,0.0,0.0,0.3220746762344317,4.509045467282044,4.8311201435164755,13.068423984178912,0.0,0.0,0.0,0.0,0.0,0.0,0.3220746762344317,0.0,0.0,0.0,1.9324480574065903,1.9324480574065903,0.6441493524688634,0.0,0.0,0.3220746762344317,0.0,0.0,0.0,0.6441493524688634,0.9662240287032952,1.2882987049377268,0.6441493524688634
1.0,89.05592548715225,1.225540258997508,0.0,1.225540258997508,0.0,2.04256709832918,0.0,2.04256709832918,0.0,2.04256709832918,0.0,2.04256709832918,0.0,,,0.0,0.299158870868908,0.0,0.0,0.0,0.0,0.0,0.408513419665836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0742877568528124,0.408513419665836,0.0,0.0,0.408513419665836,0.408513419665836,13.072429429306752,4.493647616324196,14.278832122698292,0.0,0.408513419665836,0.0,0.0,0.0,0.0,0.408513419665836,0.0,0.0,0.0,2.859593937660852,2.451080517995016,0.0,0.0,0.408513419665836,0.408513419665836,0.0,0.0,0.0,0.408513419665836,0.0,0.0,0.0
1.0,6190.6770066207,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.774083914834563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.774083914834563,0.0,0.0,0.0,20.774083914834563,0.0,0.0,0.0,0.0,20.774083914834563,0.0,0.0,0.0,20.774083914834563,0.0,0.0,0.0
1.0,1920.430567872542,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.116020916791535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.8078040426898,42.812146417540745,0.0,0.0,0.0,0.0,0.0,0.0,39.45966087796612,0.0,0.0,0.0,0.0,0.0,0.0,12.23204183358307,0.0,0.0,0.0,24.46408366716614,12.23204183358307,0.0,0.0,0.0,12.23204183358307,0.0,0.0,0.0,12.23204183358307,0.0,0.0,0.0
1.0,164.0203060880845,,,,,,,,,,,,,,,0.0,0.040875149156615484,0.020044986050998047,0.0,2.286721631139328,0.0,7.068048678067013,1.6630702771922383,2.7024892004373875,2.4946054157883575,1.2473027078941787,0.4157675692980596,0.2078837846490298,0.0,0.0,137.4420713124535,2.7024892004373875,0.0,0.0,0.2078837846490298,0.6236513539470894,0.8315351385961192,0.0,6.520039515480766,0.0,0.2078837846490298,0.2078837846490298,0.2078837846490298,0.0,0.0,0.2078837846490298,0.0,0.0,0.0,1.2473027078941787,1.039418923245149,1.039418923245149,0.8315351385961192,0.2078837846490298,0.2078837846490298,0.0,0.0,0.0,0.6236513539470894,2.078837846490298,2.4946054157883575,0.8315351385961192
