distance,duration,n_ha,n_ha_l,n_ha_m,n_ha_h,n_hb,n_hb_l,n_hb_m,n_hb_h,n_hc,n_hc_l,n_hc_m,n_hc_h,fcw_time,hmw_time,ldw_time,pcw_time,n_pedestrian_dz,n_tsr_level,n_tsr_level_0,n_tsr_level_1,n_tsr_level_2,n_tsr_level_3,n_tsr_level_4,n_tsr_level_5,n_tsr_level_6,n_tsr_level_7,n_brakes,speed,n_fcw,n_hmw,n_ldw,n_ldw_left,n_ldw_right,n_pcw,n_fatigue_0,n_fatigue_1,n_fatigue_2,n_fatigue_3,n_headway__1,n_headway_0,n_headway_1,n_headway_2,n_headway_3,n_overtaking_0,n_overtaking_1,n_overtaking_2,n_overtaking_3,n_speeding_0,n_speeding_1,n_speeding_2,n_speeding_3,target
61.7005,3701,42.0,1.0,41.0,0.0,40.0,0.0,40.0,0.0,79.0,6.0,73.0,0.0,0.515092,3.227478,0.854433,0.0,11.0,234.0,29.0,56.0,63.0,44.0,30.0,24.0,10.0,7.0,92.0,47.72418548526116,1.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,66.0,55.0,73.0,32.0,4.0,4.0,3.0,0.0,0.0,11.0,47.0,57.0,26.0,0
58.7555,3263,21.0,0.0,21.0,0.0,23.0,0.0,23.0,0.0,59.0,2.0,57.0,0.0,0.0,0.0,0.187669,0.0,0.0,172.0,42.0,59.0,42.0,26.0,19.0,11.0,7.0,8.0,59.0,52.09237645890241,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,15.0,31.0,18.0,5.0,5.0,4.0,0.0,0.0,12.0,28.0,33.0,20.0,0
69.704,3330,21.0,8.0,9.0,4.0,5.0,0.0,5.0,0.0,6.0,1.0,5.0,0.0,0.0,50.609593,0.291828,0.0,2.0,115.0,22.0,31.0,31.0,21.0,14.0,10.0,4.0,4.0,45.0,62.43143068939956,0.0,14.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,75.0,50.0,64.0,37.0,14.0,5.0,5.0,1.0,0.0,7.0,29.0,33.0,15.0,0
64.1653,3394,20.0,7.0,12.0,1.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,22.806731,0.0,0.0,3.0,56.0,10.0,21.0,21.0,7.0,4.0,1.0,0.0,2.0,59.0,55.7641266119578,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74.0,59.0,62.0,31.0,9.0,2.0,1.0,0.0,0.0,7.0,23.0,25.0,10.0,0
29.5101,2249,11.0,4.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.854016,0.0,0.0,2.0,72.0,23.0,23.0,16.0,15.0,9.0,3.0,2.0,4.0,43.0,43.53082082401789,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,34.0,31.0,9.0,2.0,5.0,4.0,0.0,0.0,9.0,17.0,24.0,17.0,0
30.8374,3203,17.0,7.0,8.0,2.0,4.0,0.0,4.0,0.0,5.0,3.0,2.0,0.0,0.413688,0.809147,0.0,0.0,4.0,44.0,15.0,15.0,7.0,3.0,4.0,5.0,4.0,6.0,99.0,35.43497078554425,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,73.0,79.0,52.0,12.0,2.0,10.0,10.0,1.0,0.0,7.0,11.0,11.0,7.0,0
11.4344,1152,13.0,3.0,10.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,9.0,6.0,9.0,10.0,7.0,12.0,12.0,4.0,45.0,31.412659470068697,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,9.0,7.0,3.0,0.0,3.0,2.0,0.0,0.0,5.0,5.0,5.0,4.0,0
13.5803,1222,16.0,6.0,9.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,81.0,15.0,21.0,21.0,22.0,14.0,2.0,0.0,1.0,36.0,35.32110954395863,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,10.0,4.0,1.0,0.0,3.0,2.0,0.0,0.0,7.0,12.0,18.0,13.0,0
18.2141,1905,9.0,3.0,6.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,81.0,21.0,29.0,22.0,15.0,9.0,3.0,0.0,3.0,51.0,33.78677900194426,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,42.0,29.0,18.0,0.0,6.0,5.0,0.0,0.0,8.0,15.0,19.0,10.0,0
15.7206,2254,4.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,47.0,12.0,17.0,13.0,8.0,6.0,3.0,0.0,0.0,53.0,30.344048039562,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,37.0,51.0,28.0,4.0,0.0,2.0,0.0,0.0,0.0,5.0,12.0,19.0,10.0,0
