trip_start,trip_end,distance,duration,n_ha,n_ha_l,n_ha_m,n_ha_h,n_hb,n_hb_l,n_hb_m,n_hb_h,n_hc,n_hc_l,n_hc_m,n_hc_h,n_ignition_on,n_ignition_off,fcw_time,hmw_time,ldw_time,pcw_time,n_pedestrian_dz,light_mode,n_tsr_level,n_tsr_level_0,n_tsr_level_1,n_tsr_level_2,n_tsr_level_3,n_tsr_level_4,n_tsr_level_5,n_tsr_level_6,n_tsr_level_7,zero_speed_time,n_zero_speed,n_high_beam,n_low_beam,n_wipers,n_signal_right,n_signal_left,n_brakes,speed,over_speed_limit,n_fcw,n_hmw,n_ldw,n_ldw_left,n_ldw_right,n_pcw,n_fatigue_0,n_fatigue_1,n_fatigue_2,n_fatigue_3,n_headway__1,n_headway_0,n_headway_1,n_headway_2,n_headway_3,n_overtaking_0,n_overtaking_1,n_overtaking_2,n_overtaking_3,n_speeding_0,n_speeding_1,n_speeding_2,n_speeding_3
2021-04-21T05:42:57+00:00,2021-04-21T06:41:59+00:00,71.5266,3542,3.0,0.0,3.0,0.0,89.0,2.0,87.0,0.0,39.0,4.0,35.0,0.0,,,0.0,57.697027,0.204387,0.0,6.0,day,111.0,21.0,25.0,35.0,26.0,10.0,6.0,2.0,7.0,3534.665561,11.0,2.0,0.0,0.0,25.0,24.0,67.0,65.38854576080854,,0.0,10.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,73.0,37.0,66.0,51.0,10.0,6.0,5.0,1.0,0.0,6.0,22.0,29.0,18.0
2021-04-21T07:17:10+00:00,2021-04-21T07:36:09+00:00,15.3965,1139,10.0,0.0,10.0,0.0,13.0,2.0,11.0,0.0,23.0,2.0,21.0,0.0,,,0.0,4.779464,0.203466,0.0,1.0,day,21.0,8.0,7.0,4.0,4.0,2.0,3.0,1.0,0.0,1136.531841,6.0,0.0,0.0,0.0,2.0,70.0,28.0,41.6324200913242,,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,11.0,9.0,7.0,2.0,1.0,0.0,0.0,0.0,6.0,4.0,4.0,4.0
2021-04-21T07:26:25+00:00,2021-04-21T07:29:02+00:00,0.619549,157,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,day,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.270917,1.0,0.0,0.0,0.0,61.0,8.0,6.0,24.76178660049628,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
2021-04-21T07:41:33+00:00,2021-04-21T07:45:35+00:00,1.46065,242,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,day,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.192932,6.0,0.0,0.0,0.0,59.0,19.0,12.0,22.20152091254753,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
2021-04-21T07:51:09+00:00,2021-04-21T07:53:50+00:00,1.10618,161,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,day,5.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,143.145624,1.0,0.0,0.0,0.0,23.0,10.0,8.0,27.524590163934427,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0
2021-04-21T08:02:16+00:00,2021-04-21T08:06:33+00:00,3.10487,257,4.0,0.0,4.0,0.0,10.0,1.0,9.0,0.0,9.0,3.0,6.0,0.0,,,0.0,0.0,0.0,0.0,3.0,day,19.0,4.0,5.0,4.0,5.0,4.0,1.0,0.0,0.0,19.784474,2.0,0.0,0.0,0.0,1.0,14.0,15.0,40.57575757575758,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,4.0,2.0
2021-04-21T08:07:56+00:00,2021-04-21T08:11:34+00:00,2.4479,218,3.0,0.0,3.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,,,0.0,0.732311,0.0,0.0,0.0,day,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.629749,1.0,0.0,0.0,1.0,1.0,32.0,11.0,34.95315315315315,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-04-21T09:17:16+00:00,2021-04-21T09:22:14+00:00,0.0481369,298,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,day,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-04-21T09:24:31+00:00,2021-04-21T09:28:55+00:00,0.0,264,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,day,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-04-21T09:42:46+00:00,2021-04-21T09:48:00+00:00,0.163505,314,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,day,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.46724,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.451851851851852,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
